Rok;Monitorovacia_stanica;Latka;Hodnota
2015;Kamenné námestie;SOx*;
2015;Kamenné námestie;NO2*;
2015;Kamenné námestie;CO**;
2015;Kamenné námestie;Benzén*;
2015;Kamenné námestie;prízemný ozón*;
2015;Trnavské mýto;SOx*;
2015;Trnavské mýto;NO2*;
2015;Trnavské mýto;CO**;
2015;Trnavské mýto;Benzén*;
2015;Trnavské mýto;prízemný ozón*;
2015;Jeséniova;SOx*;
2015;Jeséniova;NO2*;
2015;Jeséniova;CO**;
2015;Jeséniova;Benzén*;
2015;Jeséniova;prízemný ozón*;71
2015;Mamateyova;SOx*;
2015;Mamateyova;NO2*;
2015;Mamateyova;CO**;
2015;Mamateyova;Benzén*;
2015;Mamateyova;prízemný ozón*;54
2016;Kamenné námestie;SOx*;
2016;Kamenné námestie;NO2*;
2016;Kamenné námestie;CO**;
2016;Kamenné námestie;Benzén*;
2016;Kamenné námestie;prízemný ozón*;
2016;Trnavské mýto;SOx*;
2016;Trnavské mýto;NO2*;
2016;Trnavské mýto;CO**;
2016;Trnavské mýto;Benzén*;
2016;Trnavské mýto;prízemný ozón*;
2016;Jeséniova;SOx*;
2016;Jeséniova;NO2*;
2016;Jeséniova;CO**;
2016;Jeséniova;Benzén*;
2016;Jeséniova;prízemný ozón*;56
2016;Mamateyova;SOx*;
2016;Mamateyova;NO2*;
2016;Mamateyova;CO**;
2016;Mamateyova;Benzén*;
2016;Mamateyova;prízemný ozón*;36
2017;Kamenné námestie;SOx*;
2017;Kamenné námestie;NO2*;
2017;Kamenné námestie;CO**;
2017;Kamenné námestie;Benzén*;
2017;Kamenné námestie;prízemný ozón*;
2017;Trnavské mýto;SOx*;
2017;Trnavské mýto;NO2*;39
2017;Trnavské mýto;CO**;1004
2017;Trnavské mýto;Benzén*;0,5
2017;Trnavské mýto;prízemný ozón*;
2017;Jeséniova;SOx*;
2017;Jeséniova;NO2*;14
2017;Jeséniova;CO**;
2017;Jeséniova;Benzén*;
2017;Jeséniova;prízemný ozón*;64
2017;Mamateyova;SOx*;7,5
2017;Mamateyova;NO2*;24
2017;Mamateyova;CO**;
2017;Mamateyova;Benzén*;
2017;Mamateyova;prízemný ozón*;51
2018;Kamenné námestie;SOx*;
2018;Kamenné námestie;NO2*;
2018;Kamenné námestie;CO**;
2018;Kamenné námestie;Benzén*;
2018;Kamenné námestie;prízemný ozón*;
2018;Trnavské mýto;SOx*;
2018;Trnavské mýto;NO2*;41,4
2018;Trnavské mýto;CO**;1286
2018;Trnavské mýto;Benzén*;1,4
2018;Trnavské mýto;prízemný ozón*;
2018;Jeséniova;SOx*;
2018;Jeséniova;NO2*;11,7
2018;Jeséniova;CO**;
2018;Jeséniova;Benzén*;
2018;Jeséniova;prízemný ozón*;64
2018;Mamateyova;SOx*;8
2018;Mamateyova;NO2*;21,9
2018;Mamateyova;CO**;
2018;Mamateyova;Benzén*;
2018;Mamateyova;prízemný ozón*;54
2019;Kamenné námestie;SOx*;
2019;Kamenné námestie;NO2*;
2019;Kamenné námestie;CO**;
2019;Kamenné námestie;Benzén*;
2019;Kamenné námestie;prízemný ozón*;
2019;Trnavské mýto;SOx*;
2019;Trnavské mýto;NO2*;37,2
2019;Trnavské mýto;CO**;917
2019;Trnavské mýto;Benzén*;1
2019;Trnavské mýto;prízemný ozón*;
2019;Jeséniova;SOx*;3,2
2019;Jeséniova;NO2*;10,5
2019;Jeséniova;CO**;
2019;Jeséniova;Benzén*;
2019;Jeséniova;prízemný ozón*;66
2019;Mamateyova;SOx*;4,3
2019;Mamateyova;NO2*;20,8
2019;Mamateyova;CO**;
2019;Mamateyova;Benzén*;
2019;Mamateyova;prízemný ozón*;54
